Aula,Estado,Tema,Subtema,Descrição,Tópicos
#011,Completa,Empreendedorismo,O 'Bichinho' Empreendedor: O que é ser Empreendedor?,"Introdução ao conceito de empreendedorismo, desmistificando o ""empreendedor"" como um herói e focando na mentalidade de resolução de problemas.","• O que é Empreendedorismo?
• O perfil do Empreendedor (Mitos vs. Realidade)
• 'Mindset' empreendedor: Resiliência e Criatividade
• Empreendedorismo vs. Emprego tradicional"
#012,Completa,Empreendedorismo,Da Ideia ao Conceito: Como Encontrar um Problema Real,Foco na geração e validação de ideias. Aprender a identificar necessidades no mercado e a testar se uma ideia tem potencial antes de avançar.,"• Brainstorming e fontes de inspiração
• Identificar problemas e necessidades (a 'dor' do cliente)
• O que é um MVP (Minimum Viable Product)?
• Validar a ideia: como perguntar ao mercado"
#013,Completa,Empreendedorismo,O Mapa da Viagem: O Plano de Negócios (Versão Simplificada),Introdução às ferramentas de planeamento essenciais. Foco no Business Model Canvas como forma ágil de estruturar um negócio.,"• Para que serve um Plano de Negócios?
• O Business Model Canvas (BMC): Os 9 blocos
• Análise SWOT (Forças, Fraquezas, Oportunidades, Ameaças)
• Definir a Proposta de Valor"
#014,Completa,Empreendedorismo,Fazer Acontecer: Financiamento e Marketing Digital,Análise dos aspetos práticos de lançar um projeto: onde encontrar financiamento e como comunicar o produto/serviço no mundo digital.,"• Tipos de Financiamento (Bootstrapping, 'Friends & Family', Investidores)
• O que é o 'Pitch' (e como fazer um)?
• Marketing Digital: A importância das Redes Sociais
• Estudo de Caso: Sucesso (e fracasso) de startups portuguesas"
#015,Completa,História do Volleyball,"De ""Mintonette"" a Desporto Global: A Invenção do Voleibol","A história da criação do voleibol por William G. Morgan na YMCA, como uma alternativa menos física ao basquetebol, e a sua rápida expansão.","• William G. Morgan e a YMCA
• Porquê ""Mintonette""?
• As primeiras regras (rede, equipas)
• A evolução para ""Voleibol"" e a expansão global"
#016,Completa,História do Volleyball,Da Praia à Glória: O Voleibol Moderno e o Vólei de Praia,"A consolidação do voleibol como desporto olímpico, as mudanças nas regras (como o Líbero e o sistema de 'rally point') e a explosão de popularidade do Vólei de Praia.","• O Voleibol nos Jogos Olímpicos
• Mudanças de regras chave (Líbero, 'Rally Point')
• A cultura do Vólei de Praia (origens e profissionalização)
• O Voleibol hoje: um desporto global"
#017,Completa,História dos Computadores,Antes do Silício: As Máquinas de Calcular,"Exploração das primeiras tentativas humanas de automatizar o cálculo, desde o ábaco até às máquinas mecânicas complexas de Babbage e Ada Lovelace.","• A necessidade de calcular (Ábaco)
• Blaise Pascal e a 'Pascaline'
• Charles Babbage: O 'Pai' do Computador (Máquina Diferencial e Analítica)
• Ada Lovelace: A primeira programadora"
#018,Completa,História dos Computadores,A Era dos 'Mainframes': Gigantes de Sala,"A revolução da computação eletrónica impulsionada pela II Guerra Mundial, o nascimento dos primeiros computadores (como o ENIAC) e a invenção do transístor.","• A II Guerra e a computação (Colossus, ENIAC)
• O problema da escala (válvulas vs. transístores)
• A 'Lei de Moore'
• O que era um 'Mainframe'?"
#019,Completa,História dos Computadores,A Revolução Pessoal: O Computador em Cada Casa,A passagem dos 'mainframes' para o computador pessoal (PC). O papel dos 'hobbyists' e a visão de Steve Jobs e Bill Gates que mudaram o mundo.,"• O Altair 8800 e o 'hobbyist'
• A fundação da Apple (Apple I e II)
• O 'interface' gráfico (Xerox PARC)
• A ascensão da Microsoft e do IBM PC"
#020,Completa,História dos Computadores,O Mundo em Rede: Da Internet à Inteligência Artificial,"Análise da era da conectividade, desde a ARPANET até à World Wide Web, e a explosão dos dispositivos móveis e os desafios da Inteligência Artificial.","• A origem da Internet (ARPANET)
• Tim Berners-Lee e a World Wide Web (WWW)
• A explosão 'Mobile' (o impacto do Smartphone)
• O futuro: Computação Quântica e IA"
#021,Completa,História dos Videojogos,Dos Laboratórios ao Salão de Estar,"Uma viagem desde as primeiras experiências científicas nos anos 50, a era de ouro das Arcades, até ao nascimento das consolas caseiras e o grande crash de 1983.","• O nascimento: Tennis for Two e Pong
• Nolan Bushnell e a ascensão da Atari
• O Crash de 1983 e o ressurgimento com a Nintendo (NES)"
#022,Completa,História dos Videojogos,A Revolução 3D e a Explosão Online,"A evolução da guerra de bits (Sega vs Nintendo), a entrada da PlayStation e a transição para o 3D, culminando na revolução da internet e dos E-sports.","• Sega vs Nintendo: Sonic e Mario
• PlayStation e a era do CD-ROM
• O salto para o 3D (Mario 64)
• O fenómeno MMO e os E-sports"
#023,Completa,História dos Videojogos,O Futuro da Interatividade (Prática),"Aula prática focada na exploração de tecnologias imersivas e no papel da IA, onde os alunos desenham o futuro das experiências interativas.","• Realidade Virtual, Aumentada e Mista
• IA e mundos procedimentais
• Atividade: Brainstorming ""Designers do Futuro"""
#024,Completa,História da Vida,A Sopa Primordial: Onde e Como Começou a Vida?,"Exploração das origens da Terra e das primeiras formas de vida. O que é a vida? As teorias sobre a abiogénese e o ""último ancestral comum"" (LUCA).","• A formação da Terra e dos oceanos
• O que define 'Vida'?
• A experiência de Miller-Urey
• O que é LUCA (Last Universal Common Ancestor)?"
#025,Completa,História da Vida,A Revolução do Oxigénio e a Célula Complexa,A era dominada por micróbios. A 'Grande Oxidação' que mudou o planeta e o salto evolutivo fundamental: a emergência da célula eucariótica (endossimbiose).,"• O domínio das bactérias (Procariontes)
• Cianobactérias e a 'Grande Oxidação'
• A Teoria da Endossimbiose (origem das mitocôndrias)
• O surgimento da multicelularidade"
#026,Completa,História da Vida,A Explosão Câmbrica e a Conquista da Terra Firme,"Análise do ""Big Bang"" da biologia, a Explosão Câmbrica, onde a maioria dos planos corporais modernos apareceu, e a subsequente colonização da terra por plantas e animais.","• A Explosão Câmbrica (o que foi?)
• Os fósseis de Burgess Shale
• A vida conquista a terra (primeiras plantas)
• De peixes a anfíbios (o Tiktaalik)"
#027,Completa,História da Vida,"Gigantes, Catástrofes e Sobreviventes: As Extinções em Massa","Foco nas grandes 'mortandades' da história da Terra, com ênfase na extinção que permitiu a ascensão dos dinossauros (Permiano) e na que os eliminou (K-Pg).","• O que é uma Extinção em Massa?
• A ""Grande Mortandade"" (Permiano-Triássico)
• A Era dos Dinossauros (Mesozoico)
• A extinção K-Pg (o asteroide e a ascensão dos mamíferos)"
#028,Completa,História da Vida,O Caminho até Nós: A Evolução dos Hominídeos,"A aula final foca-se no ramo mais recente da árvore da vida: a evolução dos primatas, o bipedalismo, e a jornada do Homo sapiens desde África até ao mundo.","• A nossa herança primata
• O Bipedalismo (Lucy - Australopithecus)
• Homo habilis, Homo erectus e Neandertais
• A saída de África (Homo sapiens)"
#029,Completa,História,WWI: O Caminho para o Abismo,"Análise das causas profundas e imediatas da Grande Guerra, explorando as tensões imperialistas, o nacionalismo fervoroso e o complexo sistema de alianças europeu que transformou um incidente regional num conflito global.","Imperialismo e Neocolonialismo; 
A Paz Armada e a Corrida aos Armamentos; 
O Sistema de Alianças (Tríplice Entente vs. Tríplice Aliança); 
O Atentado de Sarajevo e o efeito dominó diplomático."
#030,Completa,História,WWI: A Guerra de Ferro e Lama,"Estudo do desenvolvimento do conflito, focando na transição da guerra de movimento para a brutal guerra de posições (trincheiras) e no impacto das inovações tecnológicas que mudaram a face da guerra para sempre.","A vida e morte nas trincheiras; 
Inovações militares: metralhadoras, tanques, aviões e gás tóxico; 
A guerra no mar e o papel dos submarinos; 
A mobilização das mulheres e a economia de guerra."
#031,Completa,História,WWI: O Fim dos Impérios e a Paz Frágil,"Exame do colapso dos grandes impérios europeus, as condições impostas pelo Tratado de Versalhes e as sementes de instabilidade que este deixou para o futuro, incluindo a criação da Sociedade das Nações.","A Revolução Russa de 1917 e a saída da frente leste; 
O Tratado de Versalhes e as humilhações alemãs; 
O redesenho do mapa da Europa; 
A criação e falhas da Sociedade das Nações."
#032,Completa,Música,Do Osso ao Bit: A Biologia e a Física do Som,"Exploração da origem evolutiva da música e dos fundamentos físicos do som, ligando a necessidade humana de comunicar à natureza das ondas sonoras.","• A música como vantagem evolutiva; 
• Os primeiros instrumentos (Paleolítico); 
• A física das ondas e frequências; 
• Como o cérebro interpreta a harmonia"
#033,Completa,Música,A Era da Amplificação: Eletricidade e Escrita,"Análise do impacto da escrita musical e da revolução elétrica, explorando como a tecnologia permitiu que a música passasse de salas privadas para estádios.","• Da partitura à prensa de Gutenberg; 
• A invenção da amplificação e microfones; 
• A guitarra elétrica e a cultura de massas; 
• O funcionamento dos sintetizadores"
#034,Completa,Música,A Revolução Digital: De 0 e 1 ao Algoritmo,"Foco na digitalização do som e no estado atual da indústria, desde a compressão de ficheiros até à influência da Inteligência Artificial na criação atual.","• A ciência da gravação: Vinil vs. Digital; 
• O formato MP3 e a revolução do Streaming; 
• Algoritmos de recomendação e consumo; 
• O papel da IA na composição moderna"
#035,Completa,História,WWII: A Ascensão dos Ditadores,"Exploração do período entre-guerras, o impacto devastador da Grande Depressão de 1929 e como o desespero económico alimentou a ascensão de regimes totalitários na Alemanha e Itália.","A Crise de 1929 e a Grande Depressão; 
As características do Fascismo e do Nazismo; 
O expansionismo japonês e italiano; 
A falha do apaziguamento e a invasão da Polónia."
#036,Completa,História,WWII: Um Mundo em Guerra Total,"Análise das grandes frentes de batalha da Segunda Guerra Mundial, as táticas de guerra relâmpago, a dimensão global do conflito e o horror humanitário do Holocausto.","A Blitzkrieg e a queda da França; 
A Batalha de Inglaterra e a Frente Leste (Operação Barbarossa); 
O Dia D e a libertação da Europa; 
O Holocausto e a perseguição sistemática de minorias."
#037,Planeada,História,WWII: O Amanhecer Atómico e a Nova Ordem,"Investigação das etapas finais do conflito, o uso das bombas atómicas, as conferências de paz que dividiram o mundo e o nascimento de uma nova ordem global liderada pelos EUA e URSS.","A Guerra no Pacífico e Pearl Harbor; 
As Bombas Atómicas (Hiroxima e Nagasáqui); 
As Conferências de Ialta e Potsdam; 
A fundação da ONU e as raízes da Guerra Fria."
